id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
364787,37.7882007,-122.4467376,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:16 UTC,2016-12-08 13:13:11 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
362932,37.7784164223954,-122.402933157132,false,[1x] Ginkgo (Ginkgo biloba),,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:00 UTC,2016-12-06 23:20:06 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
363307,37.7673693,-122.421152010217,false,[1x] Autumn Gold ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:03 UTC,2016-12-07 23:15:56 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
364019,37.7884627086978,-122.4449349,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:09 UTC,2016-12-08 23:57:38 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
367426,37.7789674254574,-122.397523830187,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:39 UTC,2016-12-04 00:30:49 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
361122,37.7905276117681,-122.412839453243,false,[1x] Strawberry tree (Arbutus unedo). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:44 UTC,2016-12-02 14:07:08 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Strawberry tree""}"
362627,37.7844946662568,-122.391100365066,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:57 UTC,2016-12-07 16:33:14 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
365686,37.7584887122719,-122.420215629982,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:24 UTC,2016-12-06 17:37:28 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
366221,37.7603111750636,-122.424995689246,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:28 UTC,2016-12-03 05:09:26 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
363216,37.7576692713771,-122.423298435394,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:02 UTC,2016-12-07 03:55:43 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
367755,37.7672519699679,-122.445231222641,true,[1x] Cherry (Prunus sp),,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:42 UTC,2016-12-05 06:32:07 UTC,,http://fallingfruit.org/imports/98,true,"{""Stone fruit""}"
359840,37.7849015,-122.4293636,false,[2x] Yew podocarpus (Podocarpus macrophyllus). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:33 UTC,2016-12-02 03:07:13 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Yew plum-pine""}"
362751,37.7710721,-122.452228862851,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:58 UTC,2016-12-02 03:51:36 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
362316,37.7794118038265,-122.392238761017,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:54 UTC,2016-12-03 18:48:29 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
360320,37.7576913180457,-122.393314540386,false,[1x] Silver maple (Acer saccharinum),,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:37 UTC,2016-12-06 18:39:05 UTC,,http://fallingfruit.org/imports/98,true,"{""Silver maple""}"
360228,37.7966936742814,-122.43699904596,false,[1x] Sydney golden wattle (Acacia longifolia). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:36 UTC,2016-12-05 19:18:04 UTC,,http://fallingfruit.org/imports/98,true,"{""Sydney golden wattle""}"
368262,37.7686119338744,-122.402423275301,false,[1x] Brazilian peppertree (Schinus terebinthifolius). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:46 UTC,2016-12-07 02:51:33 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Brazilian pepper tree""}"
360490,37.7684184428571,-122.419439232177,true,[1x] Marina arbutus (Arbutus sp). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:38 UTC,2016-12-08 09:01:30 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Strawberry tree""}"
361277,37.7891959,-122.4391733,false,[1x] Carob (Ceratonia siliqua). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:45 UTC,2016-12-03 17:02:21 UTC,Public,http://fallingfruit.org/imports/98,true,{Carob}
366622,37.7782048784096,-122.409474120194,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:32 UTC,2016-12-05 22:53:53 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
362284,37.7886959304147,-122.389804357298,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:54 UTC,2016-12-07 20:06:16 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
365696,37.7872496982732,-122.454927403637,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:24 UTC,2016-12-02 10:56:21 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
366864,37.7754920688134,-122.440748650207,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:34 UTC,2016-12-05 19:40:52 UTC,,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
368119,37.7582617503198,-122.426132708788,false,[1x] Brazilian peppertree (Schinus terebinthifolius). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:45 UTC,2016-12-05 12:19:49 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Brazilian pepper tree""}"
360302,37.7723792604901,-122.436429499102,false,[1x] Sydney golden wattle (Acacia longifolia). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:37 UTC,2016-12-01 20:37:23 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Sydney golden wattle""}"
366595,37.757839,-122.4446528,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:32 UTC,2016-12-08 18:34:51 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
364426,37.7876349951238,-122.4292723343,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:13 UTC,2016-12-07 07:05:09 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
